DISP DT,103,Unnamed: 2,606,Unnamed: 4,604,Unnamed: 6,605,Unnamed: 8,277,Unnamed: 10,601,Unnamed: 12,153,Unnamed: 14,TOTALS,894,Unnamed: 17,278,Unnamed: 19,279,Unnamed: 21,RLS ON C,Unnamed: 23,RLS ON D
8/1/2017,4,,9,,0.0,,19,,15,,13,,0.0,,60,0.0,,0.0,,0,,0,,0
8/2/2017,1,,4,,0.0,,21,,11,,19,,0.0,,56,0.0,,0.0,,8,,7,,0
8/3/2017,3,,16,,0.0,,18,,16,,25,,0.0,,78,0.0,,0.0,,5,,3,,0
8/4/2017,3,,4,,0.0,,22,,9,,15,,0.0,,53,0.0,,0.0,,8,,8,,0
8/5/2017,1,,14,,3.0,,55,,22,,61,,0.0,,156,0.0,,0.0,,0,,0,,4
8/6/2017,2,,2,,0.0,,48,,24,,73,,0.0,,149,0.0,,0.0,,0,,0,,1
8/7/2017,9,,5,,0.0,,20,,11,,31,,0.0,,76,0.0,,0.0,,20,,33,,0
8/8/2017,2,,2,,0.0,,18,,16,,25,,0.0,,63,0.0,,0.0,,11,,5,,0
8/9/2017,7,,7,,0.0,,22,,10,,27,,0.0,,73,0.0,,0.0,,10,,8,,13
8/10/2017,6,,4,,0.0,,14,,13,,27,,0.0,,64,0.0,,0.0,,8,,3,,0
8/11/2017,2,,10,,1.0,,20,,7,,31,,0.0,,71,0.0,,0.0,,1,,1,,0
8/12/2017,3,,7,,0.0,,71,,17,,63,,0.0,,161,0.0,,0.0,,0,,0,,9
8/13/2017,5,,5,,1.0,,42,,13,,65,,9.0,,140,0.0,,0.0,,1,,0,,19
8/14/2017,1,,4,,0.0,,7,,5,,17,,0.0,,34,0.0,,0.0,,0,,0,,8
8/15/2017,2,,3,,0.0,,16,,15,,20,,0.0,,56,0.0,,0.0,,0,,0,,9
8/16/2017,1,,8,,0.0,,9,,10,,24,,1.0,,53,0.0,,0.0,,0,,0,,4
8/17/2017,2,,9,,0.0,,12,,5,,35,,0.0,,63,0.0,,0.0,,0,,0,,5
8/18/2017,3,,5,,0.0,,13,,7,,28,,0.0,,56,0.0,,0.0,,0,,0,,0
8/19/2017,3,,4,,2.0,,44,,28,,103,,0.0,,184,0.0,,0.0,,0,,0,,0
8/20/2017,0,,2,,2.0,,45,,23,,90,,0.0,,162,0.0,,0.0,,0,,0,,12
8/21/2017,3,,3,,0.0,,11,,7,,20,,0.0,,44,0.0,,0.0,,32,,28,,7
8/22/2017,4,,6,,0.0,,7,,9,,23,,0.0,,49,0.0,,0.0,,3,,4,,4
8/23/2017,3,,5,,0.0,,11,,3,,44,,0.0,,66,0.0,,0.0,,6,,3,,24
8/24/2017,4,,8,,2.0,,8,,13,,34,,0.0,,69,0.0,,0.0,,2,,2,,0
8/25/2017,6,,8,,0.0,,16,,13,,40,,0.0,,83,0.0,,0.0,,7,,6,,31
8/26/2017,0,,8,,5.0,,38,,23,,91,,0.0,,165,0.0,,0.0,,0,,0,,1
8/27/2017,1,,5,,2.0,,40,,7,,79,,2.0,,136,0.0,,0.0,,0,,0,,16
8/28/2017,1,,11,,0.0,,12,,9,,15,,0.0,,48,0.0,,0.0,,0,,0,,8
8/29/2017,7,,5,,2.0,,13,,15,,37,,0.0,,79,0.0,,0.0,,27,,20,,8
8/30/2017,2,,8,,0.0,,18,,18,,34,,5.0,,85,0.0,,0.0,,12,,4,,8
8/31/2017,10,,10,,,2.0,16,,11,,49,,,0.0,98,,0.0,,0.0,11,,7,,1
DIST TOT,101,,201,,,22.0,726,,405,,"1,258",,,17.0,"2,730",,0.0,,0.0,172,,142,,192
