DISP DT,103,Unnamed: 2,606,604,Unnamed: 5,605,277,601,153,Unnamed: 10,TOTALS,894,Unnamed: 13,278,279,RLS ON C,Unnamed: 17,RLS ON D
10/1/2017,0.0,,11,0.0,,81,12,43,0.0,,147,0.0,,0,0,1,,42
10/2/2017,0.0,,11,0.0,,27,8,9,2.0,,57,0.0,,4,8,0,,9
10/3/2017,6.0,,17,0.0,,24,6,12,0.0,,65,0.0,,4,5,0,,18
10/4/2017,2.0,,12,0.0,,27,12,22,0.0,,75,0.0,,3,5,2,,21
10/5/2017,2.0,,10,0.0,,32,7,13,0.0,,64,0.0,,2,6,0,,13
10/6/2017,0.0,,4,0.0,,52,5,7,0.0,,68,0.0,,2,6,0,,8
10/7/2017,1.0,,9,0.0,,88,22,32,0.0,,152,0.0,,0,0,0,,33
10/8/2017,0.0,,9,1.0,,53,32,49,0.0,,144,0.0,,0,0,0,,44
10/9/2017,0.0,,4,1.0,,80,17,30,0.0,,132,0.0,,0,0,0,,28
10/10/2017,2.0,,4,1.0,,11,8,19,0.0,,45,0.0,,28,40,0,,26
10/11/2017,2.0,,6,0.0,,27,10,7,0.0,,52,0.0,,6,3,0,,31
10/12/2017,10.0,,12,1.0,,19,6,25,1.0,,74,0.0,,4,2,0,,33
10/13/2017,9.0,,6,0.0,,34,2,15,0.0,,66,0.0,,3,4,0,,18
10/14/2017,1.0,,4,3.0,,88,27,40,1.0,,164,0.0,,0,0,1,,45
10/15/2017,0.0,,3,1.0,,66,25,18,0.0,,113,0.0,,0,0,0,,17
10/16/2017,6.0,,11,0.0,,16,4,4,0.0,,41,0.0,,0,0,0,,4
10/17/2017,3.0,,12,0.0,,23,6,6,0.0,,50,0.0,,15,43,0,,10
10/18/2017,2.0,,3,0.0,,28,8,15,0.0,,56,0.0,,3,3,0,,20
10/19/2017,1.0,,10,0.0,,39,5,4,0.0,,59,0.0,,0,0,0,,11
10/20/2017,3.0,,10,1.0,,34,7,13,1.0,,69,0.0,,4,5,1,,15
10/21/2017,0.0,,4,2.0,,101,29,22,0.0,,158,0.0,,0,0,8,,89
10/22/2017,1.0,,6,5.0,,91,26,37,0.0,,166,0.0,,0,0,1,,136
10/23/2017,2.0,,7,0.0,,37,2,4,0.0,,52,0.0,,0,0,0,,4
10/24/2017,2.0,,11,1.0,,29,7,8,0.0,,58,0.0,,26,38,0,,49
10/25/2017,2.0,,12,0.0,,42,2,5,0.0,,63,0.0,,3,1,0,,4
10/26/2017,12.0,,13,0.0,,32,1,4,1.0,,63,0.0,,2,3,0,,5
10/27/2017,2.0,,11,0.0,,24,9,22,0.0,,68,0.0,,2,0,0,,25
10/28/2017,0.0,,10,5.0,,103,13,19,0.0,,150,0.0,,0,0,0,,32
10/29/2017,0.0,,9,5.0,,106,0,15,0.0,,135,0.0,,0,0,2,,92
10/30/2017,2.0,,9,0.0,,44,0,3,0.0,,58,0.0,,8,9,0,,16
10/31/2017,4.0,,6,1.0,,43,0,3,0.0,,57,0.0,,2,2,0,,27
DIST TOT,,77.0,266,,28.0,"1,501",318,525,,6.0,"2,721",,0.0,121,183,16,,925
