DISP DT,103,Unnamed: 2,606,604,Unnamed: 5,605,277,601,153,Unnamed: 10,TOTALS,894,Unnamed: 13,278,279,RLS ON C,Unnamed: 17,RLS ON D
9/1/2017,0.0,,5,0.0,,21,32,54,0.0,,112,0.0,,0,0,0,,62
9/2/2017,3.0,,4,1.0,,49,28,85,0.0,,170,0.0,,0,0,12,,71
9/3/2017,0.0,,4,1.0,,35,36,91,0.0,,167,0.0,,0,0,0,,86
9/4/2017,1.0,,4,0.0,,37,30,106,0.0,,178,0.0,,0,0,4,,94
9/5/2017,2.0,,7,0.0,,23,20,31,0.0,,83,0.0,,69,42,2,,40
9/6/2017,2.0,,5,0.0,,19,10,41,0.0,,77,0.0,,19,5,0,,43
9/7/2017,4.0,,6,0.0,,14,6,37,0.0,,67,0.0,,3,3,1,,36
9/8/2017,2.0,,6,0.0,,14,5,43,0.0,,70,0.0,,3,2,0,,93
9/9/2017,1.0,,2,1.0,,46,23,77,0.0,,150,0.0,,0,0,0,,75
9/10/2017,0.0,,8,0.0,,38,14,79,0.0,,139,0.0,,0,0,0,,70
9/11/2017,2.0,,1,0.0,,18,13,16,1.0,,51,0.0,,17,26,0,,20
9/12/2017,10.0,,7,0.0,,21,12,7,0.0,,57,0.0,,11,9,2,,36
9/13/2017,4.0,,8,1.0,,24,15,12,1.0,,65,0.0,,3,9,1,,14
9/14/2017,2.0,,5,0.0,,29,8,24,0.0,,68,0.0,,5,9,1,,23
9/15/2017,1.0,,9,0.0,,12,13,21,0.0,,56,0.0,,3,6,2,,50
9/16/2017,1.0,,4,1.0,,43,24,57,0.0,,130,0.0,,0,0,0,,50
9/17/2017,0.0,,4,0.0,,86,21,26,0.0,,137,0.0,,0,0,2,,25
9/18/2017,1.0,,6,0.0,,13,9,9,0.0,,38,0.0,,26,29,0,,16
9/19/2017,2.0,,8,0.0,,20,7,18,0.0,,55,0.0,,7,4,0,,16
9/20/2017,2.0,,9,0.0,,19,11,12,0.0,,53,0.0,,0,0,0,,12
9/21/2017,11.0,,8,0.0,,51,7,2,0.0,,79,0.0,,0,0,0,,6
9/22/2017,7.0,,16,0.0,,42,1,2,0.0,,68,0.0,,0,0,0,,6
9/23/2017,0.0,,20,3.0,,78,52,28,0.0,,181,0.0,,0,0,4,,46
9/24/2017,0.0,,11,2.0,,103,25,11,1.0,,153,0.0,,0,0,1,,14
9/25/2017,7.0,,11,0.0,,22,7,13,0.0,,60,0.0,,29,53,2,,63
9/26/2017,0.0,,7,0.0,,19,5,21,0.0,,52,0.0,,2,7,0,,39
9/27/2017,3.0,,16,0.0,,21,9,14,0.0,,63,0.0,,0,0,3,,44
9/28/2017,1.0,,16,0.0,,30,11,15,0.0,,73,0.0,,2,6,1,,13
9/29/2017,9.0,,6,0.0,,30,13,12,0.0,,70,0.0,,0,2,0,,13
9/30/2017,0.0,,14,5.0,,65,38,42,1.0,,165,0.0,,0,0,2,,181
DIST TOT,,78.0,237,,15.0,"1,042",505,"1,006",,4.0,"2,887",,0.0,199,212,40,,"1,357"
